783,379,533,530,72',20
784,379,407,408,45',15
785,12,89,79,84',3
786,327,576,568,34',21
787,327,448,447,87',17
788,327,566,568,61',21
789,327,458,462,88',17
790,327,576,566,08',21
791,155,26,13,03',1
792,155,25,29,45',1
793,155,29,26,30',1
794,73,562,NULL,90',21
795,73,567,NULL,79',21
796,73,194,192,42',7
797,176,274,269,87',10
799,302,246,238,79',9
800,204,167,NULL,71',6
801,204,156,148,46',6
802,204,465,456,26',17
803,204,156,NULL,89',6
804,361,366,369,32',13
805,361,83,NULL,23',3
806,18,386,383,59',14
807,18,641,383,57',14
808,18,111,112,15',4
809,193,465,455,33',17
810,193,462,447,24',17
811,193,462,452,52',17
812,193,430,427,41',16
813,193,436,432,46',16
814,20,533,NULL,31',20
815,20,447,455,70',17
816,20,462,NULL,58',17
817,20,462,461,86',17
818,316,499,510,72',19
819,316,501,513,82',19
820,316,304,305,84',11
822,310,448,453,41',17
823,267,488,480,74',18
824,267,43,40,89',2
825,267,37,NULL,54',2
826,267,60,37,58',2
827,196,110,107,76',4
828,196,557,576,88',21
829,196,110,111,85',4
830,417,266,272,16',10
831,417,266,269,33',10
832,417,256,269,75',10
834,156,62,41,12',2
835,261,335,315,30',12
836,261,463,NULL,42',17
837,261,326,328,26',12
838,261,324,328,48',12
839,75,324,335,28',12
840,75,319,NULL,44',12
841,162,196,183,52',7
842,69,386,641,87',14
843,235,626,NULL,63',6
844,170,337,335,10',12
845,170,339,337,11',12
846,170,337,319,28',12
847,395,569,NULL,55',21
848,395,389,NULL,86',14
849,395,558,574,27',21
850,395,576,566,77',21
851,395,574,NULL,83',21
852,395,576,566,30',21
853,356,41,42,53',2
854,356,339,342,57',12
855,442,320,NULL,90',12
856,442,335,NULL,21',12
857,442,87,78,08',3
858,442,326,342,59',12
859,195,538,530,53',20
860,195,530,538,16',20
861,175,71,84,38',3
862,175,533,522,32',20
863,325,499,506,82',19
864,325,272,NULL,20',10
866,237,522,533,80',20
867,237,514,NULL,63',19
868,165,432,423,25',16
869,165,386,378,14',14
870,165,386,NULL,90',14
871,165,426,428,43',16
872,165,386,388,27',14
873,85,48,47,19',2
874,85,240,342,85',9
875,231,222,212,81',8
876,231,221,NULL,79',8
877,231,139,78,72',3
878,121,614,NULL,78',4
879,121,214,209,79',8
880,121,99,107,28',4
881,424,212,216,57',8
882,424,212,203,21',8
883,424,390,382,41',14
884,424,216,NULL,52',8
885,140,447,452,73',17
886,140,462,451,85',17
887,140,242,246,57',9
888,47,156,NULL,20',6
889,47,391,641,16',14
